-17.9018,1.3893,0,0,0,,0
-17.8983,1.4833,40,0,0,,0
-17.8814,1.5548,80,0,0,,0
-17.9026,1.6415,120,0,0,,0
-17.8601,1.7295,160,0,0,,0
-17.8562,1.8142,200,0,0,,0
-17.8511,1.9019,240,0,0,,0
-17.8440,2.0369,280,0,0,,0
-17.8244,2.1257,320,0,0,,0
-17.8255,2.2101,360,0,0,,0
-17.8044,2.3007,400,0,0,,0
-17.7818,2.3944,440,0,0,,0
-17.7767,2.4799,480,0,0,,0
-17.7830,2.5733,520,0,0,,0
-17.7754,2.6595,560,0,0,,0
-17.7683,2.7503,600,0,0,,0
-17.7721,2.8436,640,0,0,,0
-17.7611,2.9320,680,0,0,,0
-17.7542,3.0268,720,0,0,,0
-17.7464,3.1130,760,0,0,P,0
-17.7418,3.2070,800,0,0,,0
-17.7772,3.2950,840,0,0,,0
-17.7939,3.3871,880,0,0,,0
-17.8120,3.4818,920,0,0,,0
-17.8377,3.5746,960,0,0,,0
-17.8644,3.6798,1000,0,0,,0
-17.8934,3.7821,1040,0,0,,0
-17.9182,3.8977,1080,0,0,,0
-17.9406,4.0130,1120,0,0,,0
-17.9668,4.1384,1160,0,0,,0
-18.0018,4.2745,1200,0,0,,0
-18.0168,4.4076,1240,0,0,,0
-18.0279,4.5509,1280,0,0,,0
-18.0697,4.9536,1320,0,0,,0
-18.0889,5.0759,1360,0,0,,0
-18.0761,5.2037,1400,0,0,,0
-18.0992,5.3101,1440,0,0,,0
-18.1405,5.4347,1480,0,0,,0
-18.1427,5.5408,1520,0,0,,0
-18.1271,5.6434,1560,0,0,,0
-18.1335,5.7539,1600,0,0,,0
-18.1202,5.8460,1640,0,0,,0
-18.1125,5.9472,1680,0,0,,0
-18.1186,6.0446,1720,0,0,,0
-18.0753,6.1319,1760,0,0,,0
-18.0695,6.2363,1800,0,0,,0
-18.0424,0.0442,1840,0,0,Z,0
-18.0317,0.1436,1880,0,0,,0
-18.0346,0.2484,1920,0,0,,0
-18.0046,0.3416,1960,0,0,,0
-17.9824,0.4558,2000,0,0,,0
-17.9758,0.5589,2040,0,0,,0
-17.9628,0.6681,2080,0,0,,0
-17.9512,0.7858,2120,0,0,,0
-17.9170,0.8932,2160,0,0,,0
-17.8937,1.0254,2200,0,0,,0
-17.8905,1.1385,2240,0,0,,0
-17.8933,1.2561,2280,0,0,,0
-17.8236,1.4097,2320,0,0,,0
-17.8337,1.5208,2360,0,0,,0
-17.8116,1.6645,2400,0,0,,0
-17.8376,2.0102,2440,0,0,,0
-17.8112,2.1295,2480,0,0,,0
-17.7972,2.2478,2520,0,0,,0
